train_type,content,result
TEST,catch up soon,goodbye
TEST,"Hi team , Can you send me the xx",others
TEST,"Rescue of bonded labourers up, convictions rare",others
TEST,I have been on hold for 20 minutes,others
TEST,"anyone there , do you support retail domain problem statement",others
TEST,"Good Morning , redirect me to a human",escalate
TEST,ok bye,goodbye
TEST,"Hi Team , I would like to . Thanks",others
TEST,What's up dear?,greeting
TEST,can I talk to human rightaway,escalate
TEST,how are you doing,greeting
TEST,thank you again,thanks
TEST,Karnataka bypolls: Congress shocks BJP in Ballari,others
TEST,how is your morning so far,greeting
TEST,Thanks for the reply hopefully get it taken care of,thanks
TEST,atleast provide me the ETA,others
TEST,"Hi There , There is everything you need to enjoy your favorite sports:",others
TEST,always a pleasure to see you,greeting
TEST,"I need help, Please help me connect to agent",escalate
TEST,any human responses ?,escalate
TEST,Exactly what I want. thanks,thanks
TEST,thanks again,thanks
TEST,Thanks but NO WAY,thanks
TEST,Thanks Shop,thanks
TEST,Thanks Tikona and bye!,thanks
TEST,"Hi there , I want to escalate",escalate
TEST,off,goodbye
TEST,"Hi There, I am waiting from past few days with no response",others
TEST,"Good Morning , Policy paper on aftercare for young adult orphans to be released",others
TEST,other,others
TEST,"Hi team , ETA is not provided at all from long time",others
TEST,"Hi , cheers mate",goodbye
TEST,Six Indian players to be trained by Kramnik in Switzerland,others
TEST,"Hello , I asked you to cancel",others
TEST,"Hi Good Afternoon , Over 1000 plus global educators expected at the",others
TEST,"Hi there , There are thousands of teams and over hundred of leagues",others
TEST,REALLY bad maintainance.,others
TEST,learnt a lot working with you. thank you,thanks
TEST,Nowhera Shaikh: Single mother in burqa ran,others
TEST,fed up of telling too many times,others
TEST,Govt official recives pension after the age 70,others
TEST,"Morning , Indian Navy admit card released for AA & SSR February 2020 exam",others
TEST,hiiiiiii,greeting
TEST,Thanks for all your guidance and support,thanks
TEST,goodbye,goodbye
TEST,you're so annoying,others
TEST,"Hi Good Morning Everyone , Untill we meet everyone. GoodBye",goodbye
TEST,"Hi Mate , How are you",greeting
TEST,"Hi Good Afternoon ,Waiting for long time with no reply",thanks
TEST,"The Wall is going up very fast despite total Obstruction by Democrats in Congress, and elsewhere!",others
TEST,Have a great day grasshopers,greeting
TEST,"Hi Team , Scholarship Alert: Apply for Faculty of Science",others
TEST,can i also have the credit card number and cvv number please ..,others
TEST,Thank you so much for reaching out,thanks
TEST,how's your day going,greeting
TEST,"Good Morning, give me your manager details",escalate
TEST,how is your life,greeting
TEST,Nothing much,others
TEST,"Hello team , can you please help me with password",others
TEST,UP govt planning over 202-metre Ram statue structure,others
TEST,"Amit Shah-led group of ministers to take call on Air India reserve price, debt",others
TEST,can I would with am you the could please yours can I would with am you the could please yours can I would with am you the could please yours can I would with am you the could please yours can I would with am you the could please yours can I would with am you the could please yours can I would with am you the could please yours can I would with am you the could please yours can I would with am you the could please yours can I would with am you the could please yours can I would with am you the could please yours can I would with am you the could please yours can I would with am you the could please yours can I would with am you the could please yours can I would with am you the could please yours can I would with am you the could please yours can I would with am you the could please yours can I would with am you the could please yours can I would with am you the could please yours can I would with am you the could please yours can I would with am you the could please yours ,others
TEST,nope sorry,others
TEST,escalate the issue further,escalate
TEST,The sky's up but I'm fine thanks. What about you?,greeting
TEST,"Hi there , take care ",goodbye
TEST,Still very poor action  service!,others
TEST,Ball in FinMin's court over GST rate cut for automobiles: Gadkari,others
TEST,wishing you bet of luck for your future,greeting
TEST,great thank you,thanks
TEST,no don't do that,others
TEST,Thank you…,thanks
TEST,Union Budget 2019: What happens to your taxes,others
TEST,"Modi not only a Twitter sensation, but on FB, Insta as well",others
TEST,I wish to talk to an agent,escalate
TEST,Would like to change my contact information,others
TEST,"Fine , and you ?",greeting
TEST,I am mad at you,others
TEST,good what's up,greeting
TEST,"Hi All , may I request you to. Thanks",others
TEST,"Hi Good Morning Everyone , Thanks one and all for the support",thanks
TEST,"Good Everning , cancel the food",others
TEST,no it isn't,others
TEST,"Hi Everyone , can you please cancel",others
TEST,"terrible , bad , horrible , waste , disgusting , useless , awful , worthless , annoying , irritiating , lame , enraged , furuois , angry , mad",others
TEST,Can someone help me about making withdrawls abroad!,others
TEST,no do not,others
TEST,good morning there,greeting
TEST,I hope you're doing well,greeting
TEST,okay see you later,goodbye
TEST,Thanks TIKONA and regards,thanks
TEST,I am angry with you,others
TEST,'Bang Bang': Nicki Minaj stuns fans with retirement announcement,others
TEST,"Hi Good Morning Team , Nokia 6.2: First impressions",others
TEST,service flow in HK sucks,others
TEST,how are you getting on,greeting
TEST,"Hi , I don’t want bot responses. can you redirect me to a human",escalate
TEST,King Carlsen takes domination to new level in chess,others
TEST,hello there,greeting
TEST,leaving now,goodbye
TEST,British Airways says almost all UK flights cancelled,others
TEST,heya,greeting
TEST,"Pick a team, player, league or sport and let the app load the articles in ""My Teams"" section.",others
TEST,"hello team , Could sport game begin",others
TEST,I am confused about the results published,others
TEST,"can you understand tamil , Hindi",others
TEST,going now. goodbye,goodbye
TEST,let's catch up as soon as possible,goodbye
TEST,PM Modi to address rally in Nashik on September 19: BJP official,others
VALIDATE,Nothing much. You?,greeting
VALIDATE,nice to see you again,greeting
VALIDATE,nice to talk to you,greeting
VALIDATE,"Hi Team , may I know times",others
VALIDATE,I am surprised about the xxx,others
VALIDATE,bye byes,goodbye
VALIDATE,Thanks for the review Scott,thanks
VALIDATE,"HI team , I would like to book flipkart vouchers",others
VALIDATE,"Hi Team , Thank you all for the quick update",thanks
VALIDATE,"HI Team , how many times do I need to follow up",others
VALIDATE,how many times to tell,others
VALIDATE,"Hi , I need a one-one conversation with your higher management team",escalate
VALIDATE,nice meeting you,greeting
VALIDATE,I think this is exactly what I was looking for. Sign me up. thanks,thanks
VALIDATE,I am not sure about the sprint,others
VALIDATE,just wanted to say hi,greeting
VALIDATE,Hope you are doing fine,greeting
VALIDATE,hello hi,greeting
VALIDATE,"Good Everning , I am waiting to speak to your manager",escalate
VALIDATE,"Good Afternoon , It's time to cancel",others
VALIDATE,The #USMCA is the modern trade deal that hardworking Americans across the country deserve. The time for Congress to put Americans FIRST and pass the #USMCA!,others
VALIDATE,what's up today,greeting
VALIDATE,have a great day ahead,greeting
VALIDATE,thanx,thanks
VALIDATE,"Hi there , Need to speak to your manager",escalate
VALIDATE,resign,goodbye
VALIDATE,drop off the provider,goodbye
VALIDATE,"hello, nod, ovation, salute, accosting, aloha, blow, ciao, hail, heralding, highball, how-do-you-do, howdy, regards, respects, rumble, salaam, salutation, best wishes, good wishes, high five, ushering in, welcome, yo, Sup, Whazzup?",greeting
VALIDATE,"Social media integration is excellent, everything is shareable. There are notifications for fire news",others
VALIDATE,I'm fine and you,greeting
VALIDATE,"Hi team , I would like to know the  ML Score",others
VALIDATE,"The app gives much information about the sporting world, including interviews and video",others
VALIDATE,bye bye see you,goodbye
VALIDATE,I don't talk to bots. I need a human representative,escalate
VALIDATE,You can set notifications on your own personalized sports news ,others
VALIDATE,nice to meet you too,greeting
VALIDATE,hi i need to speak to somebody about a creditcard i used to have can somebody direct message me,others
VALIDATE,bye bye bye,goodbye
VALIDATE,Could be  better,others
VALIDATE,thank you so much,thanks
VALIDATE,hope your day is going well,greeting
VALIDATE,Thank you for all the support,thanks
VALIDATE,untill next time,goodbye
